"Final_EA_code","interview__id","School_leave_id","s3q34","s3q35a","s3q35b","s3q36a","s3q36b"
"119104030404","293ecee7a80a482c9e10d861a7ee9c7c",2,1,2,2,96,96
"119104030404","293ecee7a80a482c9e10d861a7ee9c7c",1,1,3,3,11,11
"422107010808","29cc9b2639524c459e1b9c4f9837262e",1,2,,,,
"422107010808","29cc9b2639524c459e1b9c4f9837262e",2,2,,,,
"422107010808","29cc9b2639524c459e1b9c4f9837262e",3,2,,,,
"117302030901","2b8544e9cb7347bdb22735d3564fdf4e",1,,,,,
"117302030901","2b8544e9cb7347bdb22735d3564fdf4e",2,,,,,
"117302030901","2b8544e9cb7347bdb22735d3564fdf4e",3,,,,,
"102105130528","2bc65237da7d4f7995d38281b77b1e4b",2,1,,,,
"102105130528","2bc65237da7d4f7995d38281b77b1e4b",3,1,,,,
"102105130528","2bc65237da7d4f7995d38281b77b1e4b",1,1,,,,
"102105100433","2bea2c4985dd4f418a8c387b21ac7fbb",1,1,,,,
"102105100433","2bea2c4985dd4f418a8c387b21ac7fbb",2,1,,,,
"102105100433","2bea2c4985dd4f418a8c387b21ac7fbb",3,1,,,,
"102101040201","2c2b89bb4ed247988f21f5d27d2b69ff",2,,,,,
"102101040201","2c2b89bb4ed247988f21f5d27d2b69ff",3,,,,,
"102101040201","2c2b89bb4ed247988f21f5d27d2b69ff",1,,,,,
"107202060102","2c4950efbc4f485ca7901eed4a944579",1,1,5,7,96,11
"107202060102","2c4950efbc4f485ca7901eed4a944579",2,1,10,6,6,8
"107202060102","2c4950efbc4f485ca7901eed4a944579",3,2,,,,
"205107030213","2c5000cc7fa54db897421cefd55bae85",2,1,11,13,8,5
"205107030213","2c5000cc7fa54db897421cefd55bae85",1,1,9,8,5,5
"205107030213","2c5000cc7fa54db897421cefd55bae85",3,1,16,11,8,6
"330107010101","2c7dff734efc4ccb991e6cba613ab077",1,1,59,64,8,8
"330107010101","2c7dff734efc4ccb991e6cba613ab077",2,1,206,108,8,8
"330107010101","2c7dff734efc4ccb991e6cba613ab077",3,2,,,,
"303404010207","2c8f787219df44ad88f08faf238da056",2,1,2,3,8,4
"303404010207","2c8f787219df44ad88f08faf238da056",3,2,,,,
"303404010207","2c8f787219df44ad88f08faf238da056",1,1,1,1,9,4
"417103010710","2d21136097a4458a990cfe6f52865418",1,1,27,37,8,8
"417103010710","2d21136097a4458a990cfe6f52865418",2,1,28,33,8,8
"417103010710","2d21136097a4458a990cfe6f52865418",3,1,32,24,8,8
"124101050211","2f0258e282264dd6be94505229e6d055",3,1,30,45,8,8
"124101050211","2f0258e282264dd6be94505229e6d055",2,1,20,25,8,8
"124101050211","2f0258e282264dd6be94505229e6d055",1,1,35,50,11,5
"102102080506","2f3dadda9c4d49b89b8f3d25ecf05ddc",3,1,90,100,8,8
"102102080506","2f3dadda9c4d49b89b8f3d25ecf05ddc",2,1,120,150,8,8
"102102080506","2f3dadda9c4d49b89b8f3d25ecf05ddc",1,1,100,150,8,8
"106101090206","303f41c72565478cbb227a5e342ebc3e",1,1,10,18,8,8
"106101090206","303f41c72565478cbb227a5e342ebc3e",2,1,11,8,8,8
"106101090206","303f41c72565478cbb227a5e342ebc3e",3,1,12,15,8,8
"320102040601","30b9d5e1f9fe43dd8a86e6563a69e79a",1,1,120,80,9,9
"320102040601","30b9d5e1f9fe43dd8a86e6563a69e79a",2,1,210,221,9,9
"320102040601","30b9d5e1f9fe43dd8a86e6563a69e79a",3,1,316,219,9,9
