"hhid","parcelID","a2aq1owned","s2aq5_1","s2aq03_1a","s2aq4","s2aq5","s2aq6","s2aq7","s2aq8","s2aq9","s2aq10","s2aq11a","s2aq11b","a2bq12a_1","a2bq12b_1","s2aq14","s2aq15a","s2aq15b","a2aq28","a2aq29a","a2aq29b","a2aq18","s2aq20","s2aq21","s2aq22a","s2aq22b","s2aq23","a2aq31","s2aq26__0","s2aq26__1","a2aq32","a2aq33a","a2aq33b","a2aq33c","s2aq24__0","s2aq24__1","s2aq27__0","s2aq27__1","a2aq34","a2aq25","a2aq35","a2aq36","a2aq37","a2aq38","a2aq39"
"05cef9765f92473eb465b6dc4fac72a4",2,1,1,1,,1,4,4,2,999,2,1,96,,,,100,,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,8000000
"05cef9765f92473eb465b6dc4fac72a4",3,1,1,1,1,1,1,4,2,999,1,96,1,,,,,100,2,,,2,2,,,,4,,,,2,,,,1,,1,,1,2,2,,1,,8000000
"05dafcf31b4d403aad84cdfff9d1fdfc",1,1,2,1,0.54,0.5,1,1,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,96,,,2,,2,,1,2,2,,1,,1700000
"0602eb95ac184ad3aa8fdba309f3f946",1,1,1,1,,1,3,1,1,999,1,1,1,,,,70,100,2,,,2,2,,,,4,,,,1,3,,,1,,1,,2,2,2,,1,,3000000
"0602eb95ac184ad3aa8fdba309f3f946",2,1,1,1,,3,3,1,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,3,,,1,2,1,2,2,2,2,,1,,6000000
"06122c47fee6432f8b973b9ea525fe57",1,1,5,3,1.56,1.5,1,4,2,999,1,1,1,,,,49.36,78,1,1,,2,2,,,,4,,,,2,,,,5,,5,,5,2,2,,1,,2500000
"06122c47fee6432f8b973b9ea525fe57",2,1,5,3,,0.75,2,4,2,999,1,5,1,3,,,,87,2,,,2,1,2,8,,4,,,,2,,,,5,,5,,5,2,2,,1,,500000
"061989138f624a46be5860a6f7e8934b",1,1,2,3,0.7,1,1,1,2,999,1,2,2,,,,100,100,2,,,3,2,,,,4,,,,1,1,,,1,,1,2,1,2,2,,1,,6000000
"061d004e00b841cea0fa55802483b1b4",1,1,1,1,2.92,3,1,1,2,999,1,2,2,,,,62,75,1,1,,2,2,,,,4,,,,2,,,,1,,1,2,1,1,2,,1,,20000000
"06403dbe6bbd4f1e82d16fa705c51b73",2,1,1,1,0.73,1,1,1,2,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,5,2,2,,1,,5000000
"066a75cbe6cb4de4a2ba444ec6c9a5b4",1,1,2,1,0.45,0.5,1,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,2,,,,1,2,1,2,2,2,2,,1,,16000000
"066a75cbe6cb4de4a2ba444ec6c9a5b4",2,1,2,1,1.75,2,1,1,1,999,1,2,2,,,,100,100,2,,,2,1,1,6,,4,,,,2,,,,1,2,1,2,2,1,2,,1,,50000000
"067e98465031426791a3853b69a9a70a",1,1,1,3,0.08,0.1,1,1,1,999,1,1,1,,,,100,100,2,,,2,2,,,,4,,,,1,96,,,,,,,1,2,2,,1,,3000000
"067f809da4ef44c8ab7ff3a16ee31672",1,1,1,1,,0.5,2,4,2,999,1,5,5,3,3,,,,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,500000
"067f809da4ef44c8ab7ff3a16ee31672",2,1,1,3,,2,3,4,2,999,2,1,1,,,,25,25,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,2000000
"067f809da4ef44c8ab7ff3a16ee31672",3,1,1,1,,2,4,4,2,999,2,1,1,,,,50,50,2,,,2,2,,,,4,,,,2,,,,1,,1,,2,2,2,,1,,1600000
"06816d8d60b141418b768b356970d613",1,1,2,3,0.04,0.2,1,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,4,,,,1,96,,,,,,,1,2,2,,1,,3000000
"06816d8d60b141418b768b356970d613",2,1,2,1,,1.5,3,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,3,9998,1,,,,,,1,,1,,4,1,1,1,4,1,15000000
"06816d8d60b141418b768b356970d613",3,1,2,1,,0.5,3,1,1,999,1,2,2,,,,100,100,2,,,2,2,,,,2,9998,1,,,,,,1,,1,,4,2,2,,1,,3000000
