"hhid","parcelID","pltid","s3aq03","s2aq04_1","s3aq03_1","s3aq03_2","s3aq03_3","s3aq03_4a","s3aq03_4b","s3aq03a","s3aq04","s3aq04a","s3aq05","s3aq06","s3aq07","s3aq08","s3aq09","s3aq12","s3aq13","s3aq14","s3aq14a","s3aq15","s3aq16","s3aq17","s3aq18","s3aq19","s3aq22","s3aq23","s3aq24a","s3aq24b","s3aq25","s3aq26","s3aq27","s3aq28","s3aq34","s3aq35a","s3aq35b","s3aq35c","s3aq36","s4aq07"
"917bd1ae541840d5938bfc743f6cf592",3,1,"Bananas",0.76,3,1,3,,,2,1,1,500,2,,,,1,2,,,,,,,,2,,,,,,,,2,,,,,0.7
"917bd1ae541840d5938bfc743f6cf592",2,1,"Bananas",,1,2,,1,3,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,10,0,0,25000,0.9
"91977dd048b34793bdf31105e251b0af",2,1,"MAIZE",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,5,0,0,25000,1
"91977dd048b34793bdf31105e251b0af",1,2,"CASSAVA PLOT",,2,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"91977dd048b34793bdf31105e251b0af",3,1,"CASSAVA AND MAIZE PLOT",,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,5,0,0,25000,1
"91977dd048b34793bdf31105e251b0af",4,1,"MAIZE PLOT",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.16
"91977dd048b34793bdf31105e251b0af",1,1,"SWEET POTATOE PLOT",,1,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.5
"91ac1869c81245f98ea54940a36eac7a",1,1,"beans",,2,1,2,,,1,1,1,500,2,,,,1,2,,,,,,,,2,,,,,,,,1,5,0,0,40000,0.25
"91cd1e9a1838444da20822cc50da7ff7",1,1,"Bananas",0.17,1,1,1,,,2,1,1,600,2,,,,1,2,,,,,,,,2,,,,,,,,2,,,,,0.17
"91cd1e9a1838444da20822cc50da7ff7",1,2,"Maize",0.1,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.1
"91e639b11610463fba9ff19245108149",3,1,"soyabeans",1.16,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,2,2,0,30000,1.16
"91e639b11610463fba9ff19245108149",1,1,"pinepples",0.48,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.48
"91e639b11610463fba9ff19245108149",2,1,"sorghum",1.5,1,1,1,,,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,1,0,7,0,60000,1.5
"91efc699bca84524bc971ba6a3dc3e87",3,2,"POTATOES",,2,2,,1,2,2,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,0.25
